course,prof,gpa
527,"Chen, Deming",3.7167259205028813
528,"Beck, Carolyn L",3.660974025974026
528,"Stipanovic, Dusan M",3.775
528,"Liberzon, Daniel M",3.7838461538461536
528,"Olshevsky, Alexander",3.7938095238095237
528,"Mehta, Prashant G",3.303913043478261
528,"Dullerud, Geir E",3.4709090909090907
532,"Choquette, Kent D",3.728148148148148
534,"Katselis, Dimitrios",3.743207834050535
534,"Shomorony, Ilan",3.668109040717736
534,"Milenkovic, Olgica",3.7420596246973363
534,"Srikant, Rayadurgam",3.6012279180335667
534,"Veeravalli, Venugopal V",3.4954545454545456
534,"Raginsky, Maxim",3.68671875
534,"Hajek, Bruce",3.583309822361547
534,"Moulin, Pierre",3.4170220220220218
535,"Leburton, Jean-Pierre",3.4855407407407406
536,"Chuang, Shun L",3.7641666666666667
540,"Jin, Jianming",3.8853846153846154
541,"Noureddine, Mohammad",3.6250000000000004
541,"Nicol, David M",3.588678260869565
541,"Sanders, William H",3.6176630434782613
543,"Raginsky, Maxim",3.89356071964018
543,"Hajek, Bruce",3.6366666666666663
544,"Schwing, Alexander G",3.7050953910751705
544,"Hasegawa-Johnso, Mark A",3.6892278494452406
546,"Schutt-Aine, Jose E",3.850255507120023
547,"Schwing, Alexander G",3.758965517241379
547,"Huang, Thomas S",3.8806846240179578
549,"Gupta, Saurabh",3.6458813028806185
549,"Lazebnik, Svetlana",3.712593973171505
549,"Hoiem, Derek W",3.896577008629327
549,"Forsyth, David A",3.9248387096774193
550,"Hutchinson, Seth A",3.793103448275862
551,"Yarkony, Elad",3.667142857142857
551,"Dokmanic, Ivan",3.5293087855297163
551,"Do, Minh N",3.876554054054054
551,"Liang, Zhi-Pei",3.3921739130434787
551,"Hasegawa-Johnso, Mark A",3.7405692307692306
553,"Liberzon, Daniel M",3.912857142857143
554,"Dominguez-Garci, Alejandr",3.9072000000000005
555,"Srikant, Rayadurgam",3.7572727272727273
561,"Veeravalli, Venugopal V",3.7718012422360245
563,"Varshney, Lav R",3.751889632107023
563,"Milenkovic, Olgica",3.756923076923077
563,"Moulin, Pierre",3.6268000000000002
563,"Veeravalli, Venugopal V",3.7529032258064516
564,"Popescu, Gabriel",3.826241258741259
566,"Moulin, Pierre",3.7310848484848487
569,"Carney, Paul S",3.8795454545454544
576,"Overbye, Thomas J",3.8704347826086956
576,"Sauer, Peter W",3.939090909090909
580,"Srikant, Rayadurgam",3.739130434782609
581,"Hanumolu, Pavan Kumar",3.7746546546546544
586,"Hu, Bin",3.8113333333333332
586,"Srikant, Rayadurgam",3.7722875816993464
586,"Liberzon, Daniel M",3.8151851851851855
598,"Viswanath, Pramod",3.9161278586278585
598,"Driggs-Campbell, Katherin",3.9523809523809526
598,"Shanbhag, Naresh R",3.347826086956522
598,"Gupta, Saurabh",3.822333333333333
598,"Zhu, Wenjuan",3.6284285714285716
598,"Roy Choudhury, Romit",3.6033333333333335
598,"Raginsky, Maxim",3.868925831202046
598,"Li, Xiuling",3.7142857142857144
598,"Hwu, Wen-Mei W",3.9523809523809526
